,ICD9_Code,CUI,name
0,10.42,C0176199,Reconstruction of conjunctival cul-de-sac with free graft
1,10.49,C0176202,Other conjunctivoplasty
2,10.5,C0176203,Lysis of adhesions of conjunctiva and eyelid
3,10.9,C0175568,Other operations on conjunctiva
4,10.91,C0197180,Subconjunctival injection
5,11.00,,
6,11.39,C0176209,Other excision of pterygium
7,11.49,C0176212,Other removal or destruction of corneal lesion
8,11.52,C0197453,Repair of postoperative wound dehiscence of cornea
9,11.63,C0197444,Penetrating keratoplasty with autograft
10,11.64,C0029703,Other penetrating keratoplasty
11,11.73,C0176217,Keratoprosthesis
12,110.1,C4082762,Dermatophytosis of nail
13,112.0,C0006849,Candidiasis of mouth
14,112.5,C0153252,Disseminated candidiasis
15,112.84,C0239295,Candidal esophagitis
16,114.6,,
17,115.90,C0677640,"Histoplasmosis, unspecified, without mention of manifestation"
18,117.5,C0010414,Cryptococcosis
19,12.14,C0176222,Other iridectomy
20,12.32,C0176225,Lysis of other anterior synechiae
21,12.33,C0197652,Lysis of posterior synechiae
22,12.4,C0176227,Excision or destruction of lesion of iris and ciliary body
23,12.41,C0197646,"Destruction of lesion of iris, nonexcisional"
24,12.42,C0197546,Excision of lesion of iris
25,12.64,C3263686,Trabeculectomy ab externo
26,12.69,C0176230,Other scleral fistulizing procedure
27,12.89,C0176238,Other operations on sclera
28,12.91,C0197511,Therapeutic evacuation of anterior chamber
29,12.92,C0844573,Injection into anterior chamber
30,120.4,,
31,13.1,C0197717,Intracapsular extraction of lens
32,13.41,C2193446,Phacoemulsification and aspiration of cataract
33,13.42,C0176248,Mechanical phacofragmentation and aspiration of cataract by posterior route
34,13.43,C0176249,Mechanical phacofragmentation and other aspiration of cataract
35,13.51,C0197736,Extracapsular extraction of lens by temporal inferior route
36,13.59,C0175572,Other extracapsular extraction of lens
37,13.71,C0176254,"Insertion of intraocular lens prosthesis at time of cataract extraction, one-stage"
38,13.9,C0176256,Other operations on lens
39,135,C0036202,Sarcoidosis
40,138,C0362050,Late effects of acute poliomyelitis
41,14.24,C0197923,Destruction of chorioretinal lesion by laser photocoagulation
42,14.32,C0176265,Repair of retinal tear by cryotherapy
43,14.34,C0176266,Repair of retinal tear by laser photocoagulation
44,14.41,C0587958,Scleral buckling with implant
45,14.49,C0029732,Other scleral buckling
46,14.52,C0197875,Repair of retinal detachment with cryotherapy
47,14.54,C0395569,Repair of retinal detachment with laser photocoagulation
48,14.59,C0176270,Other repair of retinal detachment
49,14.71,C0197786,"Removal of vitreous, anterior approach"
50,14.72,C0176276,Other removal of vitreous
51,14.73,C0197792,Mechanical vitrectomy by anterior approach
52,14.74,C0029666,Other mechanical vitrectomy
53,14.75,C0395549,Injection of vitreous substitute
54,14.79,C0841706,Other operations on vitreous
55,14.9,C0176278,"Other operations on retina, choroid, and posterior chamber"
56,148.1,C0153400,Malignant neoplasm of pyriform sinus
57,153.2,C0153435,Malignant neoplasm of descending colon
58,16.09,C0176291,Other orbitotomy
59,16.61,C0197003,Secondary insertion of ocular implant
60,16.62,C0197022,Revision and reinsertion of ocular implant
61,16.72,C0197019,Removal of orbital implant
62,16.92,C0196973,Excision of lesion of orbit
63,17,C0175624,Other miscellaneous procedures
64,171.2,C0153521,"Malignant neoplasm of connective and other soft tissue of upper limb, including shoulder"
65,172.9,C0151779,"Melanoma of skin, site unspecified"
66,173.0,C0153539,Other malignant neoplasm of skin of lip
67,173.1,C3161363,"Other and unspecified malignant neoplasm of skin of eyelid, including canthus"
68,173.2,C3161364,Other and unspecified malignant neoplasm of skin of ear and external auditory canal
69,173.3,C3161365,Other and unspecified malignant neoplasm of skin of other and unspecified parts of face
70,173.4,C3161366,Other and unspecified malignant neoplasm of scalp and skin of neck
71,173.5,C3161367,"Other and unspecified malignant neoplasm of skin of trunk, except scrotum"
72,173.6,C3161368,"Other and unspecified malignant neoplasm of skin of upper limb, including shoulder"
73,173.7,C3161369,"Other and unspecified malignant neoplasm of skin of lower limb, including hip"
74,173.8,C3161370,Other and unspecified malignant neoplasm of other specified sites of skin
75,18.12,C0198030,Biopsy of external ear
76,18.29,C0176317,Excision or destruction of other lesion of external ear
77,18.31,C0198044,Radical excision of lesion of external ear
78,18.4,C0198075,Suture of laceration of external ear
79,18.79,C0176321,Other plastic repair of external ear
80,185,C0376358,Malignant neoplasm of prostate
81,188.6,C0153614,Malignant neoplasm of ureteric orifice
82,189.0,C0494158,"Malignant neoplasm of kidney, except pelvis"
83,189.2,C0153619,Malignant neoplasm of ureter
84,196.0,C0153668,"Secondary and unspecified malignant neoplasm of lymph nodes of head, face, and neck"
85,196.2,C0686655,Secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes
86,197.7,C0494165,"Malignant neoplasm of liver, secondary"
87,198.5,C0153690,Secondary malignant neoplasm of bone and bone marrow
88,20.01,C1970956,Myringotomy with insertion of tube
89,202.00,C0375087,"Nodular lymphoma, unspecified site, extranodal and solid organ sites"
90,21.03,C0189064,Control of epistaxis by cauterization (and packing)
91,21.31,C0176362,Local excision or destruction of intranasal lesion
92,21.32,C0176363,Local excision or destruction of other lesion of nose
93,21.5,C0188993,Submucous resection of nasal septum
94,21.61,C0176365,Turbinectomy by diathermy or cryosurgery
95,21.62,C0396168,Fracture of the turbinates
96,21.69,C0176367,Other turbinectomy
97,21.72,C0189037,Open reduction of nasal fracture
98,21.81,C0189030,Suture of laceration of nose
99,21.88,C0176372,Other septoplasty
100,21.89,C0176373,Other repair and plastic operations on nose
101,21.91,C0189071,Lysis of adhesions of nose
102,210.0,C0153932,Benign neoplasm of lip
103,211.2,C0153944,"Benign neoplasm of duodenum, jejunum, and ileum"
104,211.3,C0004991,Benign neoplasm of colon
105,211.4,C0153945,Benign neoplasm of rectum and anal canal
106,212.0,C0153951,"Benign neoplasm of nasal cavities, middle ear, and accessory sinuses"
107,214.1,C0153969,Lipoma of other skin and subcutaneous tissue
108,214.4,C0153972,Lipoma of spermatic cord
109,216.1,C0153983,"Benign neoplasm of eyelid, including canthus"
110,216.3,C0153985,Benign neoplasm of skin of other and unspecified parts of face
111,216.4,C0153986,Benign neoplasm of scalp and skin of neck
112,216.5,C0153987,"Benign neoplasm of skin of trunk, except scrotum"
113,216.6,C0153988,"Benign neoplasm of skin of upper limb, including shoulder"
114,22.19,C0176380,Other diagnostic procedures on nasal sinuses
115,22.2,C1384596,Intranasal antrotomy
116,22.39,C0176382,Other external maxillary antrotomy
117,22.41,C0189113,Frontal sinusotomy
118,22.42,C0189146,Frontal sinusectomy
